imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9798351,215078000,ELDIA               ,80,149,34,8.0,Tanker,All ships of this type
9676125,257980000,EAGLE BARENTS       ,80,221,55,10.0,Tanker,All ships of this type
9429235,636020533,TUNADAL             ,74,148,10,7.7,Cargo,Hazardous category D
9372169,257282000,NORMAND SAPPHIRE    ,90,31,62,7.2,Other Type,All ships of this type
9639359,235094269,HIGHLAND CHIEFTAIN,79,15,65,4.8,Cargo,No additional information
9582116,311061600,EPIPHANIA           ,70,195,33,8.0,Cargo,All ships of this type
9404651,354625000,MSC CAMILLE         ,71,145,221,10.7,Cargo,Hazardous category A
9650212,209852000,NDEAVOR             ,90,19,80,4.0,Other Type,All ships of this type
9158654,257624000,AQUA SOLUNDOY,90,9,22,5.0,Other Type,All ships of this type
9434503,232057882,FS ARIES            ,99,17,56,4.4,Other Type,No additional information
9811000,353136000,EVER GIVEN          ,71,142,258,12.2,Cargo,Hazardous category A
9252527,245354000,THETIS              ,52,12,17,5.0,Tug,NaN
9635808,563619000,HAFNIA LYNX         ,80,149,34,9.7,Tanker,All ships of this type
2326627,269057834,BASILEA,79,100,10,2.1,Cargo,No additional information
9805568,244890472,ROTRA VENTE         ,70,121,20,6.5,Cargo,All ships of this type
9193070,232821000,VOS PROVIDER,99,20,48,5.2,Other Type,No additional information
9813230,255806202,UHL FOCUS           ,70,15,135,6.6,Cargo,All ships of this type
9602514,257076000,ISLAND CRUSADER     ,90,15,81,6.2,Cargo,All ships of this type
9321392,255755000,AASFJORD,70,104,10,6.6,Cargo,All ships of this type
9842932,205045000,TUG 50              ,52,12,13,5.5,Tug,NaN
9468528,215712000,FUJI LAVA           ,80,81,25,6.5,Tanker,All ships of this type
9657002,219017205,BRAVER              ,40,14,7,2.1,High speed craft (HSC),All ships of this type
9924259,563175800,ARMADA 78 02,90,29,49,6.5,Other Type,All ships of this type
1468690,205369090,SOMTRANS X,80,115,20,0.1,Tanker,All ships of this type
9656668,257036130,SUPRA TIDE,79,23,66,5.6,Cargo,No additional information
9283693,636091130,AS PALINA           ,75,162,48,10.1,Cargo,Reserved for future use
9468932,230632000,FINNWAVE            ,71,14,204,6.1,Cargo,Hazardous category A
9268849,257039490,KNARRLAGSUND        ,70,102,10,5.7,Cargo,All ships of this type
9644445,231851000,TORSBORG            ,70,12,74,5.0,Cargo,All ships of this type
9658367,563218400,BENRIACH            ,80,74,26,6.5,Tanker,All ships of this type
9649081,229203000,DENSA FALCON        ,70,154,32,9.9,Cargo,All ships of this type
9284647,352001760,MAVKA,80,121,13,7.0,Tanker,All ships of this type
9299733,621819092,NAGARJUNA           ,80,204,40,14.8,Tanker,All ships of this type
9858670,210290000,SOLITAS-H           ,70,79,10,3.5,Cargo,All ships of this type
9416082,370999000,SHAMROCK JUPITER    ,80,120,26,6.1,Tanker,All ships of this type
9344007,636023630,HARDRADA            ,80,154,26,11.0,Tanker,All ships of this type
963434700,311000610,REM INSULA          ,90,16,70,5.5,Other Type,All ships of this type
9242625,636018490,MSC VANQUISH II,70,160,18,10.7,Cargo,All ships of this type
9902938,636021084,LNG PROSPERITY      ,80,239,60,8.8,Tanker,All ships of this type
9912139,241770000,ATLANTIC            ,80,225,49,9.5,Tanker,All ships of this type
9433157,636021249,MSC JENNIFER II     ,74,162,18,9.1,Cargo,Hazardous category D
9173692,230916000,TALI                ,70,115,22,6.0,Cargo,All ships of this type
9306055,244870246,YE243 CREADAN LADY,30,8,36,1.8,Fishing,NaN
9319246,235010520,GRAMPIAN CONTENDER  ,51,15,33,5.2,Search and Rescue vessel,NaN
9351282,235053142,ST DAVID            ,0,10,10,2.6,Not available (default),NaN
9396701,209823000,RIX GULF            ,70,83,9,3.7,Cargo,All ships of this type
8985141,245331000,SCH-33 TEMPUS FUGIT,30,16,7,0.0,Fishing,NaN
9436020,352005238,CENTURION I         ,80,222,28,8.5,Tanker,All ships of this type
9437983,352003969,CAI YUN             ,80,203,40,15.0,Tanker,All ships of this type
9678628,235092103,MCS PAMPERO         ,40,23,3,2.1,High speed craft (HSC),All ships of this type
9368948,259665000,EDDA FAUNA          ,90,52,57,6.6,Other Type,All ships of this type
5096743,244556000,MARIE GALANTE       ,36,27,9,2.5,Sailing,NaN
8962187,257121000,SEIBRIS             ,70,7,17,3.0,Cargo,All ships of this type
9411276,235073828,VOS VOYAGER         ,90,15,45,4.4,Other Type,All ships of this type
9278791,538006782,FEDERAL NAKAGAWA    ,79,175,25,9.9,Cargo,No additional information
9397951,311064500,BOKA OCEAN          ,79,34,104,6.1,Cargo,No additional information
9013098,257022800,PREIKESTOLEN        ,69,44,43,3.7,Passenger,No additional information
9980928,232052186,CMS THUNDERER       ,52,12,11,0.0,Tug,NaN
792431000,211272310,FRISIA IX           ,60,0,57,0.0,Passenger,All ships of this type
8509492,245148000,ARM44               ,90,36,5,0.0,Other Type,All ships of this type
9184639,259612000,TROENDERBAS,30,30,38,7.5,Fishing,NaN
9679921,235103286,SEVEN KESTREL,0,40,85,7.1,Not available (default),NaN
9680528,235103023,VOS GLORY,70,20,40,4.5,Cargo,All ships of this type
9115963,246327000,HD35 NOORDERLICHT   ,30,17,7,4.0,Fishing,NaN
9276482,636016823,CETUS               ,72,192,33,8.0,Cargo,Hazardous category B
9992189,211117790,VB ENDEAVOUR        ,52,14,14,6.1,Tug,NaN
9430739,563223700,SRIWANGI III        ,80,121,25,7.2,Tanker,All ships of this type
8511275,232217000,OCEAN OBSERVER      ,38,35,45,5.1,Reserved,NaN
6004003,205396000,POLYBOTES           ,70,99,11,2.2,Cargo,All ships of this type
9972517,255806457,UHL FABLE           ,70,15,135,8.3,Cargo,All ships of this type
9402122,311025800,SUNSET              ,70,153,25,10.8,Cargo,All ships of this type
9180839,245315000,MOEZELBORG,79,120,15,7.3,Cargo,No additional information
9361421,235011640,GRAMPIAN COURAGEOUS,51,18,29,5.3,Search and Rescue vessel,NaN
9616163,257954000,OCEAN RESPONSE      ,51,28,47,6.0,Search and Rescue vessel,NaN
9102100,636010378,STOLT INVENTION     ,80,149,28,9.5,Tanker,All ships of this type
9249348,258612000,NORMAND MERMAID,90,31,59,5.8,Other Type,All ships of this type
9364033,235056391,NORTH PROMISE       ,90,20,67,4.5,Other Type,All ships of this type
9246152,257970000,XANTHIA,89,135,12,6.5,Tanker,Hazardous category D
9422275,305067000,LIANNE,70,68,12,4.5,Cargo,All ships of this type
